Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m	Invalid latitude or longitude
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m	Index 5 out of bounds for length 5
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m	Index 5 out of bounds for length 5
Australia	Mountain	Smith's Hill	??????	??????	67 m	Invalid latitude or longitude
Australia	Mountain	Mount Tunbubudla West	-26.963235 152.901278	294 m	Index 5 out of bounds for length 5
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m	Index 5 out of bounds for length 5
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m	Latitude out of range
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m	Index 5 out of bounds for length 5
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m	Longitude out of range
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m	empty String
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m	Index 5 out of bounds for length 5
Australia    Mountain	Mount Shanahan	-30.032244	139.500532	364 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Oliphant    -30.293461	139.325953	624 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Intrepid	-28.741548 142.103176	205 m	Index 5 out of bounds for length 5
Australia	Mountain    Mount Walpanara	-27.135077	149.124813	283 m	Index 5 out of bounds for length 5
Australia	Mountain	Byong Hills	-33.069750	147657	345 m	Longitude out of range
Australia	Mountain    Red Hill	-32.720360	151.376238	203 m	Index 5 out of bounds for length 5
Australia	Mountain	Round Mountain	-28.333471	153.551445	???? m	empty String
Australia	Mountain	Mount Lookout	-30.485885 152.931576	236 m	Index 5 out of bounds for length 5
Australia	Mountain	Tinebank Mountain	-31.199441	152521	957 m	Longitude out of range
Australia	Mountain	The Mound	-37.312154	145.020390 458 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Kosciuszko	-36.455877	148.263330	???? m	empty String
Australia	Mountain	Mount Hump	-37629	146.783867	1238 m	Latitude out of range
Australia	Mountain	Snowy North	-42.861118	146.645765	???? m	empty String
Australia    Mountain	Mount Dempsey	-15.862361	130.470715	264 m	Index 5 out of bounds for length 5
Australia	Mountain	Mount Gosse	-15.542180	131503	251 m	Longitude out of range
Australia	Mountain	Yardiacco Hill	-28.754191	118.313913 459 m	Index 5 out of bounds for length 5
Austria    Mountain	Kapall	47.148606	10.248999	2315 m	Index 5 out of bounds for length 5
Austria	Mountain    Keeskogel	47.136328	12.311784	3291 m	Index 5 out of bounds for length 5
Austria	Mountain	Rinnkogel	47.666742	13.485926 1823 m	Index 5 out of bounds for length 5
Malawi    Mountain	Kabondwe	-11.632274	33.541038	1370 m	Index 5 out of bounds for length 5
Malawi	Mountain	Chimphako	??????	??????	1220 m	Invalid latitude or longitude
Malawi	Mountain	Mateska	-16.936602	35.172428 953 m	Index 5 out of bounds for length 5
Lesotho	Mountain	Thaba Putsua	-30349	28.033985	2908 m	Latitude out of range
Malawi    Mountain	Nakasindagombwe	-9.662151	33.316947	1348 m	Index 5 out of bounds for length 5
Mozambique	Mountain	Muijeleveti	-12.707444	35.878231	???? m	empty String
Mozambique	Mountain	Namocolue	-13.628042	37.767223 556 m	Index 5 out of bounds for length 5
Mozambique	Mountain    Niuapa	-13.156035	38.390286	623 m	Index 5 out of bounds for length 5
Mozambique	Mountain	Tava	-12.723603	39.259216	???? m	empty String
Mozambique	Mountain	Tecapuaro	-13.985292 39.268144	456 m	Index 5 out of bounds for length 5
Mozambique	Mountain	Lipembe	-16.288878	35.708239	???? m	empty String
Mozambique    Mountain	Comane	-16.194331	36.599735	939 m	Index 5 out of bounds for length 5
Mozambique	Mountain	Tipui	-13866	39.402200	458 m	Latitude out of range
Mozambique	Mountain	Ecopo	??????	??????	431 m	Invalid latitude or longitude
Mozambique	Mountain	Nahomo	-13.969414	39.954040 376 m	Index 5 out of bounds for length 5
Mozambique	Mountain	Silivala	-13709	40.377086	264 m	Latitude out of range
Mozambique	Mountain	Nacoma	??????	??????	211 m	Invalid latitude or longitude
Mozambique	Mountain	Nango	-17.416771 34.200170	378 m	Index 5 out of bounds for length 5
Norway    Mountain	Jiehkkevárri	69.469243	19.877617	1834 m	Index 5 out of bounds for length 5
Peru	Mountain	Nevado Jonorane	-14.081996 -70.770504	5553 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Mount Gifford Third Peak    -44.728700	168.061924	2081 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Ngarangipukahu	-35.512645	173.566958 718 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Rotopaunga	??????	??????	1856 m	Invalid latitude or longitude
New Zealand	Mountain	Te Koikoi    -38.515959	176.810436	864 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Taharewaewae    -38.786516	176.968982	1013 m	Index 5 out of bounds for length 5
New Zealand    Mountain	Mount Gorgeous	-41.449086	172.250825	1261 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Mount Argelin	-41.809368	173.572157	???? m	empty String
New Zealand	Mountain	Meteor Peak	-43.515784	170.234158 2624 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Ferintosh Peak	??????	??????	2497 m	Invalid latitude or longitude
New Zealand	Mountain	Chest Peak	-43.103225	172.020258 1936 m	Index 5 out of bounds for length 5
New Zealand    Mountain	Mount Barton	-41.556870	175.317244	889 m	Index 5 out of bounds for length 5
New Zealand	Mountain    Fleetwood Peak	-45.069400	167.262901	1286 m	Index 5 out of bounds for length 5
New Zealand	Mountain    Christmas Hill	-45.074114	167.309107	1165 m	Index 5 out of bounds for length 5
New Zealand	Mountain	Mount Owen	-45301	167.571273	1763 m	Latitude out of range
New Zealand	Mountain	Lorn Peak    -45.343978	168.791876	1638 m	Index 5 out of bounds for length 5
Peru	Mountain	Nevado Yanaulo	-11.912652	-74.820124 5142 m	Index 5 out of bounds for length 5
Pakistan	Mountain	Chhatri Mountain	33.305527	74.105762	???? m	empty String
Philippines	Mountain    Mount Tungtayan	16.833333	120.650000	1600 m	Index 5 out of bounds for length 5
Philippines	Mountain	Mount Llorente	10966	122.316728	1344 m	Latitude out of range
Russia	Mountain	Mount Dyultydag    41.956700	46.926300	4127 m	Index 5 out of bounds for length 5
Philippines	Mountain	Mount Orcog	16.483190	121.000028	???? m	empty String
South Africa    Mountain	Kanonkop	-29.248007	17.736402	948 m	Index 5 out of bounds for length 5
South Africa    Mountain	Rietberg	-29.485528	17.883860	1313 m	Index 5 out of bounds for length 5
South Africa	Mountain	Koeberg	-33.716387	18.555995 351 m	Index 5 out of bounds for length 5
South Africa	Mountain	Bordje	??????	??????	245 m	Invalid latitude or longitude
